Series Name,Series Code,Country Name,Country Code,2020 [YR2020]
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,65.173
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Eastern and Southern,AFE,64.3257022314803
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Africa Western and Central,AFW,58.4459527348481
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,78.686
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,77.063
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,61.487
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,77.146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,72.1707598827252
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.813
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,75.224
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,76.434
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,83.2
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.1926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,73.123
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,74.053
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,77.419
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,72.868
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,79.308
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,74.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.7951219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,74.754
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,62.077
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,82.0560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,72.08
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,71.771
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,77.545
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,69.793
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,76.084
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,British Virgin Islands,VGB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,75.998
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,73.6073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,61.981
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,61.916
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,73.166
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,70.054
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cameroon,CMR,59.626
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Canada,CAN,81.7487804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Caribbean small states,CSS,73.8709059808875
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cayman Islands,CYM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central African Republic,CAF,53.679
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Central Europe and the Baltics,CEB,76.1441688035782
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chad,TCD,54.505
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Channel Islands,CHI,83.24
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Chile,CHL,80.329
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,China,CHN,77.097
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Colombia,COL,77.46
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Comoros,COM,64.525
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Dem. Rep.",COD,60.971
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Congo, Rep.",COG,64.804
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Costa Rica,CRI,80.465
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cote d'Ivoire,CIV,58.104
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Croatia,HRV,77.7243902439024
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cuba,CUB,78.892
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Curacao,CUW,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cyprus,CYP,81.135
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Czech Republic,CZE,78.2268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Denmark,DNK,81.5512195121951
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Djibouti,DJI,67.49
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominica,DMA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Dominican Republic,DOM,74.257
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Early-demographic dividend,EAR,70.9112394136255
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific,EAS,76.4449787247609
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (excluding high income),EAP,75.5811244020328
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,East Asia & Pacific (IDA & IBRD countries),TEA,75.6197431778303
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ecuador,ECU,77.216
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Egypt, Arab Rep.",EGY,72.15
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,El Salvador,SLV,73.533
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Equatorial Guinea,GNQ,59.057
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eritrea,ERI,66.679
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Estonia,EST,78.3463414634146
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Eswatini,SWZ,60.721
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ethiopia,ETH,66.953
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Euro area,EMU,81.5358828056894
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia,ECS,77.3901512978773
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (excluding high income),ECA,73.1039947304536
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Europe & Central Asia (IDA & IBRD countries),TEC,73.4832688203337
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,European Union,EUU,80.4637018880586
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Faroe Islands,FRO,83.0926829268293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fiji,FJI,67.561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Finland,FIN,82.1317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Fragile and conflict affected situations,FCS,62.7534561513537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,France,FRA,82.1756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,French Polynesia,PYF,77.836
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gabon,GAB,66.69
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Gambia, The",GMB,62.383
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Georgia,GEO,73.919
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Germany,DEU,80.9414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ghana,GHA,64.347
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Gibraltar,GIB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greece,GRC,81.0878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Greenland,GRL,71.4046341463415
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Grenada,GRD,72.426
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guam,GUM,80.277
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guatemala,GTM,74.529
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea,GIN,61.962
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guinea-Bissau,GNB,58.634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Guyana,GUY,70.023
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Haiti,HTI,64.315
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Heavily indebted poor countries (HIPC),HPC,63.8096279614673
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,High income,HIC,80.2105306378702
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Honduras,HND,75.448
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Hong Kong SAR, China",HKG,85.3878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Hungary,HUN,75.6170731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IBRD only,IBD,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iceland,ISL,83.0658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA & IBRD total,IBT,71.3882329970137
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA blend,IDB,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA only,IDX,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,IDA total,IDA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,India,IND,69.887
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Indonesia,IDN,71.908
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Iran, Islamic Rep.",IRN,76.87
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Iraq,IRQ,70.748
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ireland,IRL,82.2048780487805
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Isle of Man,IMN,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Israel,ISR,82.7
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Italy,ITA,82.3439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jamaica,JAM,74.586
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Japan,JPN,84.6156097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Jordan,JOR,74.655
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kazakhstan,KAZ,71.37
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kenya,KEN,66.991
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kiribati,KIR,68.611
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Dem. People's Rep.",PRK,72.453
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Korea, Rep.",KOR,83.4268292682927
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kosovo,XKX,71.0878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kuwait,KWT,75.586
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Kyrgyz Republic,KGZ,71.8
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lao PDR,LAO,68.219
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Late-demographic dividend,LTE,76.4390057298943
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean,LCN,75.762427569981
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & Caribbean (excluding high income),LAC,75.7368725894048
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,75.6828220726702
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Latvia,LVA,75.3878048780488
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Least developed countries: UN classification,LDC,65.6289399415688
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lebanon,LBN,79.004
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lesotho,LSO,54.836
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liberia,LBR,64.423
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Libya,LBY,73.082
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Liechtenstein,LIE,81.8073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lithuania,LTU,74.9292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low & middle income,LMY,71.3261273958382
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Low income,LIC,64.0575295648766
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Lower middle income,LMC,69.3303443969452
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Luxembourg,LUX,81.7414634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Macao SAR, China",MAC,84.37
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Madagascar,MDG,67.39
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malawi,MWI,64.694
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malaysia,MYS,76.306
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Maldives,MDV,79.208
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mali,MLI,59.692
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Malta,MLT,82.6536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Marshall Islands,MHL,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritania,MRT,65.129
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mauritius,MUS,74.1770731707317
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mexico,MEX,75.131
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Micronesia, Fed. Sts.",FSM,68.002
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa,MEA,74.4477337438886
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (excluding high income),MNA,73.9654230228965
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle East & North Africa (IDA & IBRD countries),TMN,73.9623843227375
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Middle income,MIC,72.1811046069178
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Moldova,MDA,72.006
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Monaco,MCO,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mongolia,MNG,70.056
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Montenegro,MNE,75.9317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Morocco,MAR,76.901
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Mozambique,MOZ,61.387
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Myanmar,MMR,67.363
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Namibia,NAM,64.045
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nauru,NRU,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nepal,NPL,71.067
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Netherlands,NLD,81.409756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Caledonia,NCL,77.7711707317073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,New Zealand,NZL,82.0560975609756
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nicaragua,NIC,74.697
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Niger,NER,62.792
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Nigeria,NGA,55.018
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North America,NAC,77.7411628196422
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,North Macedonia,MKD,75.6931707317073
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Northern Mariana Islands,MNP,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Norway,NOR,83.209756097561
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Not classified,INX,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,OECD members,OED,79.703266865293
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Oman,OMN,78.078
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Other small states,OSS,69.0319829742748
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pacific island small states,PSS,70.2275053761847
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pakistan,PAK,67.428
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Palau,PLW,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Panama,PAN,78.68
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Papua New Guinea,PNG,64.725
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Paraguay,PRY,74.363
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Peru,PER,76.947
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Philippines,PHL,71.36
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Poland,POL,76.6
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Portugal,PRT,80.9756097560976
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Post-demographic dividend,PST,80.164363177794
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Pre-demographic dividend,PRE,61.4987693990593
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Puerto Rico,PRI,80.0874634146342
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Qatar,QAT,80.363
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Romania,ROU,74.3536585365854
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Russian Federation,RUS,71.3387804878049
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Rwanda,RWA,69.329
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Samoa,WSM,73.45
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,San Marino,SMR,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sao Tome and Principe,STP,70.583
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Saudi Arabia,SAU,75.28
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Senegal,SEN,68.213
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Serbia,SRB,74.2292682926829
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Seychelles,SYC,77.2365853658537
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sierra Leone,SLE,55.066
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Singapore,SGP,83.7439024390244
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sint Maarten (Dutch part),SXM,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovak Republic,SVK,76.8658536585366
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Slovenia,SVN,80.5317073170732
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Small states,SST,69.9519871025813
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Solomon Islands,SLB,73.132
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Somalia,SOM,57.697
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Africa,ZAF,64.379
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia,SAS,69.867846801551
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Asia (IDA & IBRD),TSA,69.867846801551
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,South Sudan,SSD,58.095
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Spain,ESP,82.3341463414634
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sri Lanka,LKA,77.144
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Kitts and Nevis,KNA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Lucia,LCA,76.343
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Martin (French part),MAF,80.1219512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,St. Vincent and the Grenadines,VCT,72.658
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa,SSF,61.9511085383077
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (excluding high income),SSA,61.9497836200855
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,61.9511085383077
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sudan,SDN,65.53
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Suriname,SUR,71.802
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Sweden,SWE,82.4073170731707
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Switzerland,CHE,83.1
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Syrian Arab Republic,SYR,73.651
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tajikistan,TJK,71.301
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tanzania,TZA,65.815
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Thailand,THA,77.344
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Timor-Leste,TLS,69.712
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Togo,TGO,61.34
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tonga,TON,71.018
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Trinidad and Tobago,TTO,73.628
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tunisia,TUN,76.891
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkiye,TUR,77.928
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turkmenistan,TKM,68.313
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Turks and Caicos Islands,TCA,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Tuvalu,TUV,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uganda,UGA,63.713
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Ukraine,UKR,71.1851219512195
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,78.12
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Kingdom,GBR,80.9024390243903
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United States,USA,77.2804878048781
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Upper middle income,UMC,75.9769797728818
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uruguay,URY,78.056
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Uzbekistan,UZB,71.848
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vanuatu,VUT,70.623
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Venezuela, RB",VEN,72.066
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Vietnam,VNM,75.493
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Virgin Islands (U.S.),VIR,79.819512195122
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,West Bank and Gaza,PSE,74.213
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,World,WLD,72.747919083206
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Yemen, Rep.",YEM,66.181
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zambia,ZMB,64.194
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Zimbabwe,ZWE,61.738
,,,,
,,,,
,,,,
Data from database: Health Nutrition and Population Statistics,,,,
Last Updated: 07/01/2022,,,,
